Row,ssim,gmsdMetric,uqiMetric,mseMetric,psnrMetric
No filter,0.557111637607384,0.134718250845305,0.271732373782728,0.00167659488182929,75.886522248216
MedianFilter,0.87917259127524,0.120953025977707,0.251845803078863,0.00318520423621072,73.0994307621677
LeeFilter,0.924979761316956,0.0893118140806337,0.277125678635186,0.000437050783154181,81.7254845807998
MAPFilter,0.94393880641112,0.0839696195535354,0.288177895437975,0.000333946476468313,82.8940349536523
FrostFilter,0.947699899640828,0.0561792628884052,0.267889275166965,0.000659964805753833,82.8990168098703
KuanFilter,0.893106315636448,0.0540618907351915,0.259629715814577,0.000597742315932503,81.352265292929
BilateralFilter,0.876335166154423,0.121657253287608,0.253294657821002,0.00206303535567645,74.985736900234
AnisotropicDiffusionExp,0.975864000748025,0.047430206234965,0.272622917633495,0.000174489554885919,85.7131092608376
AnisotropicDiffusionQuad,0.979880637165482,0.0408087180918439,0.274474001015432,0.000155817451684775,86.204642634624
